
id,name,description,desired_role,start_date,end_date,HTML,CSS,JavaScript,TypeScript,Python,Ruby,PHP,Java,C#,C++,Go,Rust,Swift,Kotlin,React,Vue,Angular,Node.js,Express,Django,Flask,Rails,Laravel,Spring,.NET,AWS,Azure,GCP,Docker,Kubernetes,MySQL,PostgreSQL,MongoDB,Git,Linux,Agile,Scrum
1,旅行予約システム設計,当プロジェクトでは運用保守、テスト、デプロイ、ドキュメント作成、自動テスト導入やインフラ構築に取り組んでいる。,QAエンジニア,2024-04-09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2,予約管理システム設計,"現プロジェクトにおいてデータベース設計やデプロイなどに取り組んでいる。
[実施内容]
データベース設計
デプロイ
実装
自動テスト導入
運用保守
パフォーマンス改善
これらの取り組みにより、ユーザー満足度向上を目指している。",フルスタックエンジニア,2024-12-22,,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0
3,ブロックチェーン開発実装,要件定義、要件分析、パフォーマンス改善、自動テスト導入、クラウド移行やセキュリティ強化などの開発に取り組んでいます。目指しているのは運用コスト削減です。,フルスタックエンジニア,2025-05-20,,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0
4,動画配信サービス改善,技術選定、UI/UX設計、セキュリティ強化、実装、デプロイやデータベース設計などの開発に取り組んでいる。目指しているのは運用コスト削減である。,インフラエンジニア,2024-11-24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
5,物流管理システム改善,データベース設計、運用保守やチームマネジメントなどの開発に取り組んでいます。,SE,2024-02-22,,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
6,医療情報システム設計,このプロジェクトではタスク管理、CI/CD構築やデータ分析に取り組んでいます。,UI/UXデザイナー,2025-08-30,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,AIチャットボット構築,当プロジェクトではクラウド移行、セキュリティ強化、リファクタリング、運用保守、技術選定やコーディングに取り組んでいる。,PM,2025-03-24,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
8,顧客管理システム開発,"このプロジェクトでは自動テスト導入や実装などに取り組んでいます。
[実施内容]
自動テスト導入
実装
要件分析
タスク管理
チームマネジメント
運用保守",フルスタックエンジニア,2025-05-05,,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0
9,クラウド移行プロジェクト導入,主な業務はデータベース設計、タスク管理やレビューである。目指しているのはバグ発生率低減である。,データサイエンティスト,2024-06-15,2024-12-28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
10,教育向けアプリ実装,"このプロジェクトでは技術選定やインフラ構築などに取り組んでいます。
[主な業務]
技術選定
インフラ構築
チームマネジメント
実装
テスト
これらの取り組みにより、品質改善を目指しています。",フルスタックエンジニア,2024-07-31,2025-12-02,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
11,クラウド移行プロジェクト開発,"現在進行中の案件においてはパフォーマンス改善やUI/UX設計などに取り組んでいます。
[実施内容]
パフォーマンス改善
UI/UX設計
CI/CD構築
クラウド移行
自動テスト導入
システム設計
これらの取り組みにより、開発効率向上を目指しています。",データサイエンティスト,2025-09-05,,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0
12,ブロックチェーン開発開発,"現プロジェクトにおいて要件定義やアーキテクチャ設計などに取り組んでいる。
[主な作業]
要件定義
アーキテクチャ設計
チームマネジメント
データ分析
レビュー
UI/UX設計",フロントエンドエンジニア,2024-09-24,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
13,セキュリティ強化プロジェクト実装,現在進行中の案件においては要件定義、要件分析、パフォーマンス改善、リファクタリングやシステム設計に取り組んでいます。目的はバグ発生率低減です。,フロントエンドエンジニア,2025-04-17,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
14,グルメレビューアプリ開発,"本プロジェクトではクラウド移行や要件定義などに取り組んでいる。
[実施内容]
クラウド移行
要件定義
自動テスト導入
ドキュメント作成
システム設計",バックエンドエンジニア,2025-05-14,,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
15,データレイク構築構築,主な業務は自動テスト導入、データベース設計、セキュリティ強化、チームマネジメント、技術選定や要件定義である。目指しているのはコスト削減である。,データサイエンティスト,2024-04-07,2025-12-23,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0
16,HRテックサービス構築,現プロジェクトにおいて実装、チームマネジメント、リファクタリング、システム設計、要件定義やパフォーマンス改善に取り組んでいる。目的は品質改善である。,技術リーダー,2024-09-16,,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1
17,グルメレビューアプリ実装,当プロジェクトではクラウド移行、インフラ構築、レビュー、タスク管理やテストに取り組んでいます。,技術リーダー,2025-04-29,2026-05-18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18,AIチャットボット実装,インフラ構築、運用保守、セキュリティ強化、実装やUI/UX設計などの開発に取り組んでいます。目指しているのは性能向上です。,インフラエンジニア,2025-06-14,2026-12-31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0
19,健康管理アプリ実装,技術選定や設計レビューを行っている。また、レビュー、チームマネジメントやテストにも取り組んでいる。,QAエンジニア,2024-10-25,2025-02-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20,ブロックチェーン開発設計,現プロジェクトにおいてドキュメント作成、システム設計、UI/UX設計、データ分析やデータベース設計に取り組んでいる。,テクニカルリード,2024-10-26,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
21,旅行予約システム実装,現プロジェクトにおいてデプロイ、技術選定、UI/UX設計、ドキュメント作成や運用保守に取り組んでいる。目的はコスト削減である。,技術リーダー,2024-06-19,2025-05-27,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
22,在庫管理システム開発,デプロイ、アーキテクチャ設計、CI/CD構築、テスト、レビューやコーディングなどの開発に取り組んでいる。目指しているのはバグ発生率低減である。,SE,2024-06-28,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,音声認識システム設計,技術選定や設計レビューを行っています。また、レビュー、セキュリティ強化やチームマネジメントにも取り組んでいます。,バックエンドエンジニア,2024-11-11,,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0
24,チャットボット実装,技術選定や設計レビューを行っています。また、ドキュメント作成、運用保守やインフラ構築にも取り組んでいます。目指しているのはユーザー満足度向上です。,UI/UXデザイナー,2024-10-24,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
25,不動産プラットフォーム実装,"当プロジェクトではセキュリティ強化や技術選定などに取り組んでいる。
[主な業務]
セキュリティ強化
技術選定
クラウド移行
コーディング
これらの取り組みにより、運用コスト削減を目指している。",フロントエンドエンジニア,2024-01-05,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
26,動画配信サービス開発,システム設計や実装を中心に行っています。,インフラエンジニア,2024-02-21,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
27,在庫管理システム導入,本プロジェクトではCI/CD構築、セキュリティ強化、データ分析、クラウド移行やコーディングに取り組んでいる。目的はバグ発生率低減である。,データサイエンティスト,2024-07-21,2025-03-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
28,不動産プラットフォーム構築,"当プロジェクトではレビューやチームマネジメントなどに取り組んでいる。
[実施内容]
レビュー
チームマネジメント
実装
システム設計
データベース設計
これらの取り組みにより、レスポンス時間短縮を目指している。",インフラエンジニア,2025-01-13,2026-06-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
