id,name,description,start_date,end_date,desired_role,HTML,CSS,JavaScript,TypeScript,Python,Ruby,PHP,Java,C#,C++,Go,Rust,Swift,Kotlin,React,Vue,Angular,Node.js,Express,Django,Flask,Rails,Laravel,Spring,.NET,AWS,Azure,GCP,Docker,Kubernetes,MySQL,PostgreSQL,MongoDB,Git,Linux,Agile,Scrum
1,リアルタイム店舗在庫Webフロント刷新伴走計画,マルチベンダー体制を統括しリスクと課題の早期解消を図る。テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。利用部門と連携しアジャイルリリースの計画を整備する。,2021-07-19,2022-10-10,PL,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
2,UX向上店舗在庫分析可視化DX計画,業務フローを再定義し現行資産との共存を段階的に図る。アーキテクチャレビューでセキュリティとパフォーマンスを両立する。,2022-04-29,2022-12-17,バックエンドエンジニア,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1
3,UX向上マイナンバー業務自動化推進プロジェクト,業務フローを再定義し現行資産との共存を段階的に図る。スクラムイベントを通じてチーム間の可視化と合意形成を支援する。,2024-01-31,2024-05-31,システムアーキテクト,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
4,リアルタイムクラウド移行基幹刷新強化プロジェクト,アーキテクチャレビューでセキュリティとパフォーマンスを両立する。クラウド運用ガイドラインに沿って権限設計を策定する。UI/UX観点で仮説検証を繰り返し顧客満足度を高める。,2021-08-02,2023-01-13,プラットフォームエンジニア,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
5,金融機関向けコンテンツ管理API連携刷新案件,マルチベンダー体制を統括しリスクと課題の早期解消を図る。モバイルとWebの共通コンポーネント戦略を策定する。API連携基盤を標準化し社内外システムの接続を安定させる。,2024-02-24,,UIエンジニア,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
6,金融機関向け施設予約Webフロント刷新DX計画,段階リリースに備え移行リハーサルと利用者教育を実施する。スクラムイベントを通じてチーム間の可視化と合意形成を支援する。UI/UX観点で仮説検証を繰り返し顧客満足度を高める。,2021-12-14,2023-06-02,PMO,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1
7,AI庁内業務オムニチャネル化強化プロジェクト,観測データを分析しリリース後の改善ポイントを定常化する。スクラムイベントを通じてチーム間の可視化と合意形成を支援する。,2023-09-05,,ソリューションエンジニア,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1
8,エンタープライズ原価管理マイクロサービス化開発イニシアチブ,アーキテクチャレビューでセキュリティとパフォーマンスを両立する。マルチベンダー体制を統括しリスクと課題の早期解消を図る。CI/CD基盤を整備して短いサイクルでのリリースを実現する。,2021-01-10,2021-10-27,バックエンドエンジニア,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1
9,金融機関向けBI整備業務自動化共同開発,利用部門と連携しアジャイルリリースの計画を整備する。業務フローを再定義し現行資産との共存を段階的に図る。API連携基盤を標準化し社内外システムの接続を安定させる。,2020-08-24,2022-02-08,分析基盤エンジニア,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0
10,モバイルファーストコンテンツ管理クラウド移行DX計画,テスト自動化を拡張し回帰検証の効率と網羅性を向上させる。クラウド運用ガイドラインに沿って権限設計を策定する。UI/UX観点で仮説検証を繰り返し顧客満足度を高める。,2023-01-10,2024-05-06,フロントエンドエンジニア,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
